Model,PMID,QID,Type,Question,Human Answer,Model Answer,annotation_verdict,verdict,note
GPT-4o QSP,37537871,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,Unknown,ok,model error,
GPT-4o QSP,37540331,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTIs, NNRTIs",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o QSP,37540331,6,List,From which countries were the sequenced samples obtained?,Not reported,Iran,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o QSP,37541705,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"PI, INSTI","NRTIs, PIs",ok,model error,
GPT-4o QSP,37541705,16,List,Which drugs were received by individuals in the study before sample sequencing?,"LPV, DTG, RAL, ABC, 3TC","Lopinavir/ritonavir, dolutegravir, raltegravir",ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o QSP,37541705,5,Number,How many individuals had samples obtained for HIV sequencing?,0,57,ok,model error,
GPT-4o QSP,37541705,9,List,Which HIV genes were reported to have been sequenced?,RT,Not reported,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o QSP,37546367,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"FTC, 3TC, ABC, EFV, NVP",ok,model error,
GPT-4o QSP,37546367,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-4o QSP,37554471,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTIs, NNRTIs, PIs, INSTIs",ok,model error,
GPT-4o QSP,37554471,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Etravirine, Dolutegravir, Darunavir, Ritonavir",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o QSP,37554471,9,List,Which HIV genes were reported to have been sequenced?,RT,None,ok,model error,
GPT-4o QSP,37574435,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, INSTI","NRTI, NNRTI",ok,model error,
GPT-4o QSP,37574435,16,List,Which drugs were received by individuals in the study before sample sequencing?,"DTG, BIC, FTC, TAF",Not reported,ok,model error,
GPT-4o QSP,37593123,11,List,What type of samples were sequenced?,Plasma,Not reported,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o QSP,37593123,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-4o QSP,37626789,16,List,Which drugs were received by individuals in the study before sample sequencing?,"AZT, 3TC, NVP, D4T, EFV, ABC, EFV, TDF","Zidovudine (AZT), Lamivudine (3TC), Nevirapine (NVP), Stavudine (D4T)",ok,model error,
GPT-4o QSP,37626789,5,Number,How many individuals had samples obtained for HIV sequencing?,551,554,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o QSP,37632026,16,List,Which drugs were received by individuals in the study before sample sequencing?,"AZT, D4T, XTC, TDF, ATV, LPV, DRV","Zidovudine (AZT), Tenofovir (TDF), Abacavir (ABC), Lamivudine/Emtricitabine (3TC/FTC)",ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o QSP,37632026,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-4o QSP,37632071,6,List,From which countries were the sequenced samples obtained?,Not reported,Italy,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o QSP,37649807,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTIs, NNRTIs, INSTIs",ok,model error,
GPT-4o QSP,37649807,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"TDF, 3TC, FTC, DTG",ok,model error,
GPT-4o QSP,37649807,6,List,From which countries were the sequenced samples obtained?,Not reported,Kenya,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o QSP,37649807,7,List,From what years were the sequenced samples obtained?,Not reported,2015–2021,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o QSP,37674678,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-4o QSP,37701387,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,ok,model error,
GPT-4o QSP,37755428,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, INSTIs",ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o QSP,37755428,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Tenofovir, Lamivudine, Dolutegravir, Zidovudine",ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o QSP,37775947,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-4o QSP,37775947,6,List,From which countries were the sequenced samples obtained?,"South America, Africa, USA, Asia, Australia, Europe",Not reported,ok,model error,
GPT-4o QSP,37817087,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-4o QSP,37823653,11,List,What type of samples were sequenced?,PBMC,Not reported,ok,model error,
GPT-4o QSP,37823653,13,Boolean,Were the patients in the study in a clinical trial?,No,Yes,ok,model error,
GPT-4o QSP,37823653,9,List,Which HIV genes were reported to have been sequenced?,"NFLG, Envelope",Env,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o QSP,37872202,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,ok,model error,
GPT-4o QSP,37872202,3,Boolean,Were sequences from the paper made publicly available?,No,Yes,ok,model error,
GPT-4o QSP,37872202,6,List,From which countries were the sequenced samples obtained?,Not reported,Thailand,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,37878637,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-4o QSP,37878637,3,Boolean,Were sequences from the paper made publicly available?,No,Yes,wrong,annotation/convention,"wrong: GenBank accession numbers (OR259825 etc.) appear in a table; the QSP rule says accessions mean Yes, annotation says No"
GPT-4o QSP,37896785,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, NNRTI, PI",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o QSP,37896860,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-4o QSP,37910452,6,List,From which countries were the sequenced samples obtained?,Not reported,Ghana,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-4o QSP,37910452,7,List,From what years were the sequenced samples obtained?,Not reported,2013–2022,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-4o QSP,37914679,10,List,What method was used for sequencing?,"Sanger sequencing, Illumina sequencing",NGS,ok,model error,
GPT-4o QSP,37914679,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, NNRTI",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o QSP,37914679,9,List,Which HIV genes were reported to have been sequenced?,"PR, RT, IN",Not reported,ok,model error,
GPT-4o QSP,37938856,11,List,What type of samples were sequenced?,Not reported,Plasma,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o QSP,37938856,16,List,Which drugs were received by individuals in the study before sample sequencing?,"3TC, TDF, EFV, DTG, ATV",Not reported,ok,model error,
GPT-4o QSP,37938856,5,Number,How many individuals had samples obtained for HIV sequencing?,820 or 46,48,ambiguous,annotation/convention,ambiguous: annotation hedges: '820 or 46'
GPT-4o QSP,37938856,9,List,Which HIV genes were reported to have been sequenced?,"PR, RT, IN",RT,ok,model error,
GPT-4o QSP,37946329,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"3TC, NVP",ok,model error,
GPT-4o QSP,37946329,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-4o QSP,37946329,3,Boolean,Were sequences from the paper made publicly available?,No,Yes,ok,model error,
GPT-4o QSP,37957382,11,List,What type of samples were sequenced?,"Plasma, PBMC",Plasma,ok,model error,
GPT-4o QSP,37957382,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, PI, INSTI",Not reported,ok,model error,
GPT-4o QSP,37957382,16,List,Which drugs were received by individuals in the study before sample sequencing?,"DTG, DRV, TFV, FTC ",Not reported,ok,model error,
GPT-4o QSP,37957382,8,Boolean,Were samples cloned prior to sequencing?,Yes,No,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o QSP,37957382,9,List,Which HIV genes were reported to have been sequenced?,"Full genome, NFLG","Pol, Env",ok,model error,
GPT-4o QSP,37966701,6,List,From which countries were the sequenced samples obtained?,Not reported,United States,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o QSP,37966701,7,List,From what years were the sequenced samples obtained?,Not reported,2021–2022,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o QSP,37973713,3,Boolean,Were sequences from the paper made publicly available?,No,Yes,ok,model error,
GPT-4o QSP,37973713,6,List,From which countries were the sequenced samples obtained?,"Ukraine, Poland","Ukraine, Belarus, Georgia, Kazakhstan",ok,model error,
GPT-4o QSP,37976080,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-4o QSP,37976080,3,Boolean,Were sequences from the paper made publicly available?,No,Yes,ok,model error,
GPT-4o QSP,37976185,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,ok,model error,
GPT-4o QSP,37993493,16,List,Which drugs were received by individuals in the study before sample sequencing?,"TDF, 3TC, DTG, ABC, LPV, ATV, EFV","Tenofovir, Lamivudine, Dolutegravir",ok,model error,
GPT-4o QSP,37993493,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-4o QSP,37993493,5,Number,How many individuals had samples obtained for HIV sequencing?,33,600,ok,annotation/convention,R6 QID 5 denominator: both 600 and 33 are stated in the paper
GPT-4o QSP,38005921,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,ok,model error,
GPT-4o QSP,38005921,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ambiguous,annotation/convention,"ambiguous: ML paper reuses PhenoSense fold-ratio data from a database; the QSP rule ('reports IC50/EC50/fold change') supports Yes, the curators applied a 'new data' standard"
GPT-4o QSP,38005921,9,List,Which HIV genes were reported to have been sequenced?,Not reported,"PR, RT",ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o QSP,38020274,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Tenofovir, Lamivudine, Dolutegravir.",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o QSP,38020274,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes.,ok,model error,
GPT-4o QSP,38020274,9,List,Which HIV genes were reported to have been sequenced?,"PR, RT, IN",Not reported.,ok,model error,
GPT-4o QSP,38022124,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTIs, INSTIs",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o QSP,38022124,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"TAF, FTC, EVG, DTG, TDF",ok,model error,
GPT-4o QSP,38022124,6,List,From which countries were the sequenced samples obtained?,Not reported,Turkey,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o QSP,38022124,7,List,From what years were the sequenced samples obtained?,Not reported,2020–2022,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o QSP,38031075,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTIs, INSTIs",ok,model error,
GPT-4o QSP,38031075,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Tenofovir, Lamivudine, Dolutegravir",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
